,"Total Assets, £",Government debt ,Other Government securities ,Other securities ,Coin and bullion,Notes in the Bank ,,Notes In circulation ,Notes in the Bank ,Capital ,Rest ,Deposits ,o/w Public deposits,o/w Special deposits,o/w Bankers deposits,Other accounts,7 day and other Bills ,Total Liabilities,Check Assets=Liabilities
2000,"80,756,000,000",0,"7,255,000,000","73,489,000,000","12,000,000",,,"24,918,000,000","12,000,000","14,553,000",0,"55,811,447,000","217,000,000",0,"1,360,000,000","54,235,000,000",,"80,756,000,000",0
2001,"37,850,000,000",0,"15,061,000,000","22,782,000,000","7,000,000",,,"26,983,000,000","7,000,000","14,553,000",0,"10,846,447,000","409,000,000",0,"1,402,000,000","9,036,000,000",,"37,851,000,000",1
2002,"41,352,000,000",0,"15,298,000,000","26,050,000,000","4,000,000",,,"29,046,000,000","4,000,000","14,553,000",0,"12,288,447,000","372,000,000",0,"1,656,000,000","10,261,000,000",,"41,353,000,000",1
2003,"46,712,000,000",0,"15,735,000,000","30,970,000,000","7,000,000",,,"31,033,000,000","7,000,000","14,553,000",0,"15,656,447,000","469,000,000",0,"1,756,000,000","13,431,000,000",,"46,711,000,000",-1
2004,"48,565,000,000",0,"16,426,000,000","32,132,000,000","7,000,000",,,"33,013,000,000","7,000,000","14,553,000",0,"15,530,447,000","650,000,000",0,"1,929,000,000","12,951,000,000",,"48,565,000,000",0
2005,"55,714,000,000",0,"15,193,000,000","40,512,000,000","9,000,000",,,"35,021,000,000","9,000,000","14,553,000",0,"20,670,447,000","561,000,000",0,"2,008,000,000","18,102,000,000",,"55,715,000,000",1
2006,"61,799,000,000",0,"15,538,000,000","46,254,000,000","7,000,000",,,"36,793,000,000","7,000,000","14,553,000",0,"24,983,447,000","803,000,000",0,"2,857,000,000","21,324,000,000",,"61,798,000,000",-1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,For more information on the data please use the following links:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Original 1967 Quarterly Bulletin article,,,,,,,,,,,,,,,,,,
,Bank of England Statistical Abstracts,,,,,,,,,,,,,,,,,,
,The implications of money market reform for data published in Monetary and Financial Statistics' in the June 2006 issue of Bank of England: Monetary and Financial Statistics.,,,,,,,,,,,,,,,,,,
,"Changes to the Bank’s weekly reporting regime - Quarterly Bulletin article, 2014Q3",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Other data,,,,,,,,,,,,,,,,,,
,Weekly data on the Bank of England's balance sheet 1844-2006,,,,,,,,,,,,,,,,,,
,Three centuries of macroeconomic data,,,,,,,,,,,,,,,,,,
